,Unnamed: 0,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
20,20,당근,232,무세척(1kg),1,상품,4,1kg,당일 (11/01),6490.0,1일전 (10/31),"6,490",1주일전 (10/25),6490.0,2주일전 (10/18),6615.0,1개월전,7377.0,1년전,5755.0,일평년,"5,009",2024-11-01,0.0,-1.9260400616332818,-13.66718027734977,11.325115562403699
21,21,열무,233,열무(1kg),0,상품,4,1kg,당일 (11/01),2740.0,1일전 (10/31),"2,640",1주일전 (10/25),2560.0,2주일전 (10/18),2890.0,1개월전,4873.0,1년전,2653.0,일평년,"2,801",2024-11-01,6.569343065693431,-5.474452554744526,-77.84671532846716,3.1751824817518246
22,22,건고추,241,화건(600g),0,상품,4,600g,당일 (11/01),15000.0,1일전 (10/31),"15,000",1주일전 (10/25),15000.0,2주일전 (10/18),15000.0,1개월전,18406.0,1년전,17388.0,일평년,"16,285",2024-11-01,0.0,0.0,-22.706666666666667,-15.920000000000002
23,23,풋고추,242,풋고추(녹광 등)(100g),0,상품,4,100g,당일 (11/01),2650.0,1일전 (10/31),"2,650",1주일전 (10/25),2650.0,2주일전 (10/18),1980.0,1개월전,1861.0,1년전,1631.0,일평년,"1,539",2024-11-01,0.0,25.28301886792453,29.77358490566038,38.45283018867924
24,24,풋고추,242,꽈리고추(100g),2,상품,4,100g,당일 (11/01),1490.0,1일전 (10/31),"1,470",1주일전 (10/25),1490.0,2주일전 (10/18),2040.0,1개월전,2193.0,1년전,1283.0,일평년,"1,257",2024-11-01,0.0,-36.91275167785235,-47.18120805369128,13.89261744966443
25,25,풋고추,242,청양고추(100g),3,상품,4,100g,당일 (11/01),1690.0,1일전 (10/31),"1,690",1주일전 (10/25),1720.0,2주일전 (10/18),1420.0,1개월전,1464.0,1년전,1377.0,일평년,"1,082",2024-11-01,-1.7751479289940828,15.976331360946746,13.372781065088757,18.5207100591716
26,26,풋고추,242,오이맛고추(100g),4,상품,4,100g,당일 (11/01),1395.0,1일전 (10/31),"1,495",1주일전 (10/25),1525.0,2주일전 (10/18),1595.0,1개월전,1304.0,1년전,1187.0,일평년,"1,089",2024-11-01,-9.31899641577061,-14.336917562724013,6.5232974910394255,14.910394265232977
27,27,붉은고추,243,붉은고추(100g),0,상품,4,100g,당일 (11/01),1975.0,1일전 (10/31),"1,890",1주일전 (10/25),1990.0,2주일전 (10/18),1975.0,1개월전,2479.0,1년전,1960.0,일평년,"1,922",2024-11-01,-0.7594936708860759,0.0,-25.518987341772153,0.7594936708860759
28,28,양파,245,양파(1kg),0,상품,4,1kg,당일 (11/01),1910.0,1일전 (10/31),"1,905",1주일전 (10/25),1825.0,2주일전 (10/18),2105.0,1개월전,2138.0,1년전,2108.0,일평년,"2,193",2024-11-01,4.450261780104712,-10.209424083769633,-11.937172774869111,-10.366492146596858
29,29,파,246,대파(1kg),0,상품,4,1kg,당일 (11/01),2405.0,1일전 (10/31),"2,990",1주일전 (10/25),3155.0,2주일전 (10/18),2820.0,1개월전,3453.0,1년전,3799.0,일평년,"3,365",2024-11-01,-31.185031185031185,-17.255717255717258,-43.57588357588358,-57.96257796257797
